Format,Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.2,6112
1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.3,6112
1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,Baseline,6109
1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,1.1,6109
1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,1.2,6109
1,39,2025 Mid 1st,FA,PICK,N/A,8,0,6109,1.3,6109
1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,Baseline,6096
1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,1.1,6096
1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,1.2,6096
1,40,Joe Burrow,CIN,QB,27.9,8,12,6096,1.3,6096
1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,Baseline,5994
1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.1,5994
1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.2,5994
1,41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.3,5994
1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,Baseline,5986
1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.1,5986
1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.2,5986
1,42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.3,5986
1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,Baseline,5983
1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.1,6685
1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.2,7325
1,43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.3,7965
1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,Baseline,5926
1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.1,5926
1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.2,5926
1,44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.3,5926
1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,Baseline,5828
1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,1.1,5828
1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,1.2,5828
1,45,Tee Higgins,CIN,WR,25.8,10,-8,5828,1.3,5828
1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,Baseline,5795
1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.1,5795
1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.2,5795
1,46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.3,5795
1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,Baseline,5739
1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.1,5739
1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.2,5739
1,47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.3,5739
1,48,Jordan Love,GBP,QB,26.0,10,2,5668,Baseline,5668
1,48,Jordan Love,GBP,QB,26.0,10,2,5668,1.1,5668
1,48,Jordan Love,GBP,QB,26.0,10,2,5668,1.2,5668
1,48,Jordan Love,GBP,QB,26.0,10,2,5668,1.3,5668
1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,Baseline,5659
1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,1.1,5659
1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,1.2,5659
1,49,Tyreek Hill,MIA,WR,30.7,10,-5,5659,1.3,5659
1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,Baseline,5658
1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,1.1,5658
1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,1.2,5658
1,50,Isiah Pacheco,KCC,RB,25.7,10,9,5658,1.3,5658
2,1,Lamar Jackson,BAL,QB,27.9,1,3,9999,Baseline,9999
2,1,Lamar Jackson,BAL,QB,27.9,1,3,9999,1.1,9999
2,1,Lamar Jackson,BAL,QB,27.9,1,3,9999,1.2,9999
2,1,Lamar Jackson,BAL,QB,27.9,1,3,9999,1.3,9999
2,2,Josh Allen,BUF,QB,28.5,1,1,9998,Baseline,9998
2,2,Josh Allen,BUF,QB,28.5,1,1,9998,1.1,9998
2,2,Josh Allen,BUF,QB,28.5,1,1,9998,1.2,9998
2,2,Josh Allen,BUF,QB,28.5,1,1,9998,1.3,9998
2,3,Justin Jefferson,MIN,WR,25.4,1,-1,9980,Baseline,9980
2,3,Justin Jefferson,MIN,WR,25.4,1,-1,9980,1.1,9980
2,3,Justin Jefferson,MIN,WR,25.4,1,-1,9980,1.2,9980
2,3,Justin Jefferson,MIN,WR,25.4,1,-1,9980,1.3,9980
2,4,Ja'Marr Chase,CIN,WR,24.7,1,2,9972,Baseline,9972
2,4,Ja'Marr Chase,CIN,WR,24.7,1,2,9972,1.1,9972
2,4,Ja'Marr Chase,CIN,WR,24.7,1,2,9972,1.2,9972
2,4,Ja'Marr Chase,CIN,WR,24.7,1,2,9972,1.3,9972
2,5,Jayden Daniels,WAS,QB,23.9,2,-4,9588,Baseline,9588
2,5,Jayden Daniels,WAS,QB,23.9,2,-4,9588,1.1,9588
2,5,Jayden Daniels,WAS,QB,23.9,2,-4,9588,1.2,9588
2,5,Jayden Daniels,WAS,QB,23.9,2,-4,9588,1.3,9588
2,6,Malik Nabers,NYG,WR,21.3,3,-1,8270,Baseline,8270
2,6,Malik Nabers,NYG,WR,21.3,3,-1,8270,1.1,8270
2,6,Malik Nabers,NYG,WR,21.3,3,-1,8270,1.2,8270
2,6,Malik Nabers,NYG,WR,21.3,3,-1,8270,1.3,8270
2,7,Bijan Robinson,ATL,RB,22.8,3,8,8244,Baseline,8244
