Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
30,DK Metcalf,SEA,WR,26.9,8,-2,6301,Baseline,6301
30,DK Metcalf,SEA,WR,26.9,8,-2,6301,1.1,6301
30,DK Metcalf,SEA,WR,26.9,8,-2,6301,1.2,6301
30,DK Metcalf,SEA,WR,26.9,8,-2,6301,1.3,6301
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6289,Baseline,6289
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6289,1.1,6289
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6289,1.2,6289
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6289,1.3,6289
32,2026 Early 1st,FA,PICK,N/A,8,1,6281,Baseline,6281
32,2026 Early 1st,FA,PICK,N/A,8,1,6281,1.1,6281
32,2026 Early 1st,FA,PICK,N/A,8,1,6281,1.2,6281
32,2026 Early 1st,FA,PICK,N/A,8,1,6281,1.3,6281
34,Zay Flowers,BAL,WR,24.2,8,2,6221,Baseline,6221
34,Zay Flowers,BAL,WR,24.2,8,2,6221,1.1,6221
34,Zay Flowers,BAL,WR,24.2,8,2,6221,1.2,6221
34,Zay Flowers,BAL,WR,24.2,8,2,6221,1.3,6221
33,James Cook,BUF,RB,25.2,8,1,6221,Baseline,6221
33,James Cook,BUF,RB,25.2,8,1,6221,1.1,6221
33,James Cook,BUF,RB,25.2,8,1,6221,1.2,6221
33,James Cook,BUF,RB,25.2,8,1,6221,1.3,6221
35,Rashee Rice,KCC,WR,24.6,8,-4,6183,Baseline,6183
35,Rashee Rice,KCC,WR,24.6,8,-4,6183,1.1,6183
35,Rashee Rice,KCC,WR,24.6,8,-4,6183,1.2,6183
35,Rashee Rice,KCC,WR,24.6,8,-4,6183,1.3,6183
36,Derrick Henry,BAL,RB,30.9,8,9,6164,Baseline,6164
36,Derrick Henry,BAL,RB,30.9,8,9,6164,1.1,6164
36,Derrick Henry,BAL,RB,30.9,8,9,6164,1.2,6164
36,Derrick Henry,BAL,RB,30.9,8,9,6164,1.3,6164
37,DeVonta Smith,PHI,WR,26.0,8,-7,6153,Baseline,6153
37,DeVonta Smith,PHI,WR,26.0,8,-7,6153,1.1,6153
37,DeVonta Smith,PHI,WR,26.0,8,-7,6153,1.2,6153
37,DeVonta Smith,PHI,WR,26.0,8,-7,6153,1.3,6153
38,2025 Mid 1st,FA,PICK,N/A,8,1,6112,Baseline,6112
38,2025 Mid 1st,FA,PICK,N/A,8,1,6112,1.1,6112
38,2025 Mid 1st,FA,PICK,N/A,8,1,6112,1.2,6112
38,2025 Mid 1st,FA,PICK,N/A,8,1,6112,1.3,6112
39,Jayden Reed,GBP,WR,24.6,8,-15,6112,Baseline,6112
39,Jayden Reed,GBP,WR,24.6,8,-15,6112,1.1,6112
39,Jayden Reed,GBP,WR,24.6,8,-15,6112,1.2,6112
39,Jayden Reed,GBP,WR,24.6,8,-15,6112,1.3,6112
40,Joe Burrow,CIN,QB,27.9,8,12,6099,Baseline,6099
40,Joe Burrow,CIN,QB,27.9,8,12,6099,1.1,6099
40,Joe Burrow,CIN,QB,27.9,8,12,6099,1.2,6099
40,Joe Burrow,CIN,QB,27.9,8,12,6099,1.3,6099
41,Rome Odunze,CHI,WR,22.5,9,-6,5997,Baseline,5997
41,Rome Odunze,CHI,WR,22.5,9,-6,5997,1.1,5997
41,Rome Odunze,CHI,WR,22.5,9,-6,5997,1.2,5997
41,Rome Odunze,CHI,WR,22.5,9,-6,5997,1.3,5997
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,Baseline,5986
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.1,5986
